drone_id,time,x,y
0,0.000000,249.000000,229.000000
0,0.066733,249.407476,229.074637
0,0.133467,250.534142,229.281006
0,0.200200,252.281337,229.601037
0,0.266933,254.566457,230.019599
0,0.333667,257.320062,230.523972
0,0.400400,260.483526,231.103418
0,0.467133,264.007134,231.748831
0,0.533867,267.848533,232.452454
0,0.600600,271.971474,233.207646
0,0.667333,276.344785,234.008698
0,0.734067,280.941535,234.850677
0,0.800800,285.738343,235.729300
0,0.867533,290.714821,236.640834
0,0.934267,295.853110,237.582005
0,1.001000,301.137495,238.549937
0,1.067733,306.554095,239.542087
0,1.134467,312.090598,240.556199
0,1.201200,317.736043,241.590265
0,1.267933,323.480638,242.642493
0,1.334667,329.315608,243.711275
0,1.401400,335.233066,244.795166
0,1.468133,341.225905,245.892864
0,1.534867,347.287700,247.003193
0,1.601600,353.412635,248.125087
0,1.668333,359.595434,249.257579
0,1.735067,365.831298,250.399792
0,1.801800,372.115859,251.550925
0,1.868533,378.445133,252.710247
0,1.935267,384.815484,253.877094
0,2.002000,391.223586,255.050855
0,2.068733,397.666397,256.230974
0,2.135467,404.141131,257.416940
0,2.202200,410.645234,258.608285
0,2.268933,417.176363,259.804581
0,2.335667,423.732367,261.005434
0,2.402400,430.311272,262.210480
0,2.469133,436.911263,263.419390
0,2.535867,443.530673,264.631856
0,2.602600,450.167969,265.847598
0,2.669333,456.821739,267.066358
0,2.736067,463.490687,268.287898
0,2.802800,470.173617,269.511999
0,2.869533,476.869431,270.738460
0,2.936267,483.577117,271.967096
0,3.003000,490.295742,273.197735
0,3.069733,497.024448,274.430221
0,3.136467,503.762445,275.664408
0,3.203200,510.509005,276.900164
0,3.269933,517.263456,278.137366
0,3.336667,524.025180,279.375899
0,3.403400,530.793609,280.615661
0,3.470133,537.580886,281.915933
0,3.536867,544.373317,283.264374
0,3.603600,551.167470,284.583479
0,3.670333,557.963719,285.879982
0,3.737067,564.762306,287.159098
0,3.803800,571.563376,288.424954
0,3.870533,578.366998,289.680812
0,3.937267,585.173182,290.929240
0,4.004000,591.981899,292.172254
0,4.070733,598.253552,293.354223
0,4.137467,603.582974,294.433922
0,4.204200,608.118868,295.325146
0,4.270933,612.117832,295.759342
0,4.337667,615.649411,295.776257
0,4.404400,618.621184,294.830520
0,4.471133,621.403071,293.695340
0,4.537867,624.529210,294.367160
0,4.604600,628.260674,295.662686
0,4.671333,631.640052,296.409566
0,4.738067,634.567839,297.270780
0,4.804800,637.284677,298.087021
0,4.871533,639.706383,298.786405
0,4.938267,641.732828,299.277719
0,5.005000,643.504458,299.330777
0,5.071733,645.000626,299.048366
0,5.138467,646.027643,297.610149
0,5.205200,646.751591,296.350668
0,5.271933,647.528351,297.313676
0,5.338667,648.378599,298.267566
0,5.405400,649.039366,298.477411
0,5.472133,649.438994,298.912544
0,5.538867,649.721356,299.354974
0,5.605600,649.878099,299.670053
0,5.672333,649.961290,299.648308
0,5.739067,649.976246,299.282399
0,5.805800,649.789945,297.971096
0,5.872533,649.585156,296.499097
0,5.939267,649.650409,296.794813
0,6.006000,649.951061,297.516162
0,6.072733,650.204310,297.732383
0,6.139467,650.495059,298.082889
0,6.206200,650.933056,298.470373
0,6.272933,651.320903,298.810644
0,6.339667,651.667870,298.934024
0,6.406400,652.045039,298.575838
0,6.473133,652.379792,298.162394
0,6.539867,652.448015,296.836987
0,6.606600,652.371539,295.682800
0,6.673333,652.450199,296.754741
0,6.740067,652.708353,297.775494
0,6.806800,652.975106,297.981234
0,6.873533,653.019725,298.444088
0,6.940267,652.897270,298.970595
0,7.007000,652.716598,299.336806
0,7.073733,652.515606,299.342095
0,7.140467,652.288197,299.021591
0,7.207200,651.885404,297.737154
0,7.273933,651.469562,296.272167
0,7.340667,651.321948,296.588153
0,7.407400,651.419817,297.324586
0,7.474133,651.556001,297.555574
0,7.540867,651.762924,297.914144
0,7.607600,652.077841,298.291071
0,7.674333,652.347779,298.611987
0,7.741067,652.593819,298.715889
0,7.807800,652.885961,298.387173
0,7.874533,653.130207,297.902928
0,7.941267,653.106280,296.407164
0,8.008000,652.956992,295.122039
0,8.074733,652.972929,296.097986
0,8.141467,653.157321,297.062917
0,8.208200,653.379308,297.217434
0,8.274933,653.397205,297.631444
0,8.341667,653.220000,298.147166
0,8.408400,652.986656,298.509333
0,8.475133,652.751796,298.519713
0,8.541867,652.504529,298.260531
0,8.608600,652.086667,297.055702
0,8.675333,651.650876,295.638621
0,8.742067,651.467695,295.991675
0,8.808800,651.565338,296.740624
0,8.875533,651.676889,296.960014
0,8.942267,651.826612,297.326657
0,9.009000,652.139652,297.712094
0,9.075733,652.418015,298.026025
0,9.142467,652.655497,298.148380
0,9.209200,652.939659,297.869815
0,9.275933,653.169730,297.369112
0,9.342667,653.125758,295.809166
0,9.409400,652.958423,294.472151
0,9.476133,652.977966,295.403611
0,9.542867,653.187939,296.358253
0,9.609600,653.380644,296.546414
0,9.676333,653.366315,296.990615
0,9.743067,653.179708,297.546234
0,9.809800,652.926827,297.950169
0,9.876533,652.698401,297.974877
0,9.943267,652.465055,297.718227
0,10.010000,652.054144,296.526258
0,10.076733,651.636938,295.111293
0,10.143467,651.480071,295.450585
0,10.210200,651.595389,296.162342
0,10.276933,651.708747,296.361691
0,10.343667,651.802909,296.752388
0,10.410400,652.108412,297.157528
0,10.477133,652.419652,297.489194
0,10.543867,652.656863,297.633522
0,10.610600,652.941499,297.364139
0,10.677333,653.180980,296.935171
0,10.744067,653.153360,295.500562
0,10.810800,653.013718,294.249431
0,10.877533,653.073388,295.237150
0,10.944267,653.320476,296.219255
0,11.011000,653.439293,296.454743
0,11.077733,653.376104,296.949459
0,11.144467,653.219564,297.504127
0,11.211200,652.937475,297.966569
0,11.277933,652.680276,298.054425
0,11.344667,652.441403,297.784101
0,11.411400,652.018447,296.558977
0,11.478133,651.620861,295.099432
0,11.544867,651.543830,295.385581
0,11.611600,651.673691,296.113093
0,11.678333,651.748955,296.351609
0,11.745067,651.792219,296.800732
0,11.811800,652.061150,297.278291
0,11.878533,652.402107,297.651795
0,11.945267,652.678736,297.799224
0,12.012000,652.977969,297.515841
0,12.078733,653.207935,296.928821
0,12.145467,653.143642,295.232887
0,12.212200,652.947042,293.823613
0,12.278933,652.945180,294.726192
0,12.345667,653.136415,295.668923
0,12.412400,653.235483,295.917016
0,12.479133,653.157599,296.428797
0,12.545867,653.033306,296.960137
0,12.612600,652.841963,297.372958
0,12.679333,652.617838,297.447673
0,12.746067,652.360509,297.185216
0,12.812800,651.936502,295.988962
0,12.879533,651.521584,294.632564
0,12.946267,651.402006,295.043136
0,13.013000,651.535259,295.882943
0,13.079733,651.639952,296.208734
0,13.146467,651.800476,296.649421
0,13.213200,652.120091,297.117346
0,13.279933,652.399328,297.543410
0,13.346667,652.648092,297.763567
0,13.413400,652.938833,297.499317
0,13.480133,653.198158,297.172505
0,13.546867,653.198423,295.927641
0,13.613600,653.065119,294.851239
0,13.680333,653.096102,295.997747
0,13.747067,653.304554,297.087986
0,13.813800,653.523969,297.360452
0,13.880533,653.523889,297.890659
0,13.947267,653.362128,298.463278
0,14.014000,653.144692,298.865292
0,14.080733,652.906014,298.916032
0,14.147467,652.644667,298.647486
0,14.214200,652.212346,297.430842
0,14.280933,651.771977,296.022433
0,14.347667,651.600500,296.373917
0,14.414400,651.683256,297.128181
0,14.481133,651.802704,297.379322
0,14.547867,651.986446,297.759095
0,14.614600,652.284742,298.150547
0,14.681333,652.539138,298.491576
0,14.748067,652.770138,298.614157
0,14.814800,653.051662,298.302768
0,14.881533,653.285418,297.837357
0,14.948267,653.249272,296.360628
0,15.015000,653.088444,295.085270
0,15.081733,653.094582,296.063151
0,15.148467,653.273295,297.026580
0,15.215200,653.490042,297.172942
0,15.281933,653.498510,297.589354
0,15.348667,653.309411,298.121644
0,15.415400,653.066444,298.490047
0,15.482133,652.829290,298.495973
0,15.548867,652.579394,298.222952
0,15.615600,652.152594,297.002261
0,15.682333,651.714162,295.579996
0,15.749067,651.530891,295.931583
0,15.815800,651.624639,296.696544
0,15.882533,651.735100,296.939770
0,15.949267,651.879930,297.320744
0,16.016000,652.185020,297.721915
0,16.082733,652.459814,298.053103
0,16.149467,652.695170,298.177260
0,16.216200,652.976947,297.898422
0,16.282933,653.205278,297.395804
0,16.349667,653.162050,295.824059
0,16.416400,652.992592,294.491326
0,16.483133,653.008588,295.438906
0,16.549867,653.219177,296.406918
0,16.616600,653.416620,296.600695
0,16.683333,653.406280,297.049338
0,16.750067,653.217390,297.598925
0,16.816800,652.962012,298.000048
0,16.883533,652.727838,298.033722
0,16.950267,652.489793,297.781254
0,17.017000,652.077298,296.580122
0,17.083733,651.662444,295.152226
0,17.150467,651.508728,295.485610
0,17.217200,651.627795,296.210271
0,17.283933,651.748113,296.416113
0,17.350667,651.839784,296.802013
0,17.417400,652.136162,297.206105
0,17.484133,652.443019,297.542499
0,17.550867,652.681707,297.690998
0,17.617600,652.966968,297.418724
0,17.684333,653.203723,296.992148
0,17.751067,653.175325,295.560689
0,17.817800,653.034156,294.318770
0,17.884533,653.093052,295.319349
0,17.951267,653.342358,296.319817
0,18.018000,653.467988,296.583839
0,18.084733,653.407223,297.094874
0,18.151467,653.249508,297.653280
0,18.218200,652.968326,298.117070
0,18.284933,652.713718,298.198786
0,18.351667,652.476833,297.914680
0,18.418400,652.052253,296.672386
0,18.485133,651.652819,295.209736
0,18.551867,651.574274,295.503262
0,18.618600,651.705545,296.235145
0,18.685333,651.784085,296.482273
0,18.752067,651.825428,296.938802
0,18.818800,652.090659,297.423454
0,18.885533,652.431199,297.806305
0,18.952267,652.709439,297.949555
0,19.019000,653.008658,297.638998
0,19.085733,653.235792,297.022707
0,19.152467,653.168254,295.317122
0,19.219200,652.974373,293.909670
0,19.285933,652.976732,294.814011
0,19.352667,653.167629,295.767558
0,19.419400,653.264772,296.019565
0,19.486133,653.184739,296.518069
0,19.552867,653.062634,297.036799
0,19.619600,652.867741,297.441926
0,19.686333,652.639676,297.517621
0,19.753067,652.382592,297.263441
0,19.819800,651.955912,296.072951
0,19.886533,651.538884,294.720911
0,19.953267,651.415105,295.136107
0,20.020000,651.548370,295.963970
0,20.086733,651.655695,296.277591
0,20.153467,651.821123,296.726996
0,20.220200,652.142520,297.205011
0,20.286933,652.421825,297.629164
0,20.353667,652.673870,297.842499
0,20.420400,652.964441,297.570184
0,20.487133,653.222406,297.221249
0,20.553867,653.218954,295.949414
0,20.620600,653.082062,294.839234
0,20.687333,653.106511,295.948951
0,20.754067,653.309438,296.993797
0,20.820800,653.527047,297.226698
0,20.887533,653.527505,297.730599
0,20.954267,653.363424,298.292155
0,21.021000,653.141789,298.682497
0,21.087733,652.905209,298.720403
0,21.154467,652.645134,298.445431
0,21.221200,652.211277,297.218015
0,21.287933,651.769836,295.820512
0,21.354667,651.599864,296.197590
0,21.421400,651.680981,296.984264
0,21.488133,651.800029,297.251663
0,21.554867,651.985257,297.635628
0,21.621600,652.286343,298.034015
0,21.688333,652.544389,298.384871
0,21.755067,652.776214,298.517713
0,21.821800,653.057570,298.222286
0,21.888533,653.290549,297.762951
0,21.955267,653.253143,296.274023
0,22.022000,653.092777,295.005107
0,22.088733,653.098191,296.003713
0,22.155467,653.270552,296.982509
1,0.000000,333.000000,229.000000
1,0.066733,333.411510,229.357046
1,0.133467,334.549332,230.344273
1,0.200200,336.313825,231.875231
1,0.266933,338.621571,233.877539
1,0.333667,341.402439,236.290352
1,0.400400,344.597225,239.062298
1,0.467133,348.155720,242.149815
1,0.533867,352.035152,245.515794
1,0.600600,356.198914,249.128470
1,0.667333,360.615526,252.960530
1,0.734067,365.257787,256.988374
1,0.800800,370.102089,261.191518
1,0.867533,375.127839,265.552096
1,0.934267,380.317002,270.054457
1,1.001000,385.653708,274.684835
1,1.067733,391.123938,279.431064
1,1.134467,396.715258,284.282356
1,1.201200,402.416598,289.229107
1,1.267933,408.218070,294.262737
1,1.334667,414.110812,299.375557
1,1.401400,420.086859,304.560657
1,1.468133,426.139032,309.811808
1,1.534867,432.260845,315.123380
1,1.601600,438.504134,320.520261
1,1.668333,444.965994,325.989802
1,1.735067,451.507151,331.606350
1,1.801800,458.027745,337.301660
1,1.868533,464.537764,342.980616
1,1.935267,471.046175,348.652521
1,2.002000,477.559647,354.324245
1,2.068733,484.083041,360.000878
1,2.135467,490.619803,365.686117
1,2.202200,497.172280,371.382563
1,2.268933,503.741971,377.091975
1,2.335667,510.329719,382.815453
1,2.402400,516.935872,388.553598
1,2.469133,523.560405,394.306627
1,2.535867,530.203017,400.074475
1,2.602600,536.872851,405.883623
1,2.669333,543.597143,411.794882
1,2.736067,550.544409,417.878720
1,2.802800,557.766178,424.397418
1,2.869533,564.877662,431.045627
